[04:06:49] [main/FATAL]: Failed to start the minecraft server
joptsimple.UnrecognizedOptionException: D is not a recognized option
	at joptsimple.OptionException.unrecognizedOption(OptionException.java:108) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParser.validateOptionCharacters(OptionParser.java:633) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParser.handleShortOptionCluster(OptionParser.java:528) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParser.handleShortOptionToken(OptionParser.java:523) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParserState$2.handleArgument(OptionParserState.java:59) ~[minecraft_server.1.15.2.jar:?]
	at joptsimple.OptionParser.parse(OptionParser.java:396) ~[minecraft_server.1.15.2.jar:?]
	at net.minecraft.server.MinecraftServer.main(SourceFile:906) [minecraft_server.1.15.2.jar:?]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:09:46] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:09:47] [Server thread/INFO]: Starting minecraft server version 1.15.2
[04:09:47] [Server thread/INFO]: Loading properties
[04:09:47] [Server thread/INFO]: Default game type: SURVIVAL
[04:09:47] [Server thread/INFO]: Generating keypair
[04:09:48] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:09:48] [Server thread/INFO]: Using epoll channel type
[04:09:49] [Server thread/INFO]: Preparing level "world"
[04:12:20] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:20] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:20] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:20] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:20] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:20] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:20] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:20] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:21] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:21] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:22] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:22] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:23] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:23] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:24] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:24] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:25] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:25] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[04:12:26] [Server-Worker-5/INFO]: Preparing spawn area: 1%
[04:12:26] [Server-Worker-5/INFO]: Preparing spawn area: 1%
[04:12:27] [Server-Worker-5/INFO]: Preparing spawn area: 1%
[04:12:27] [Server-Worker-5/INFO]: Preparing spawn area: 1%
[04:12:28] [Server-Worker-5/INFO]: Preparing spawn area: 2%
[04:12:28] [Server-Worker-5/INFO]: Preparing spawn area: 2%
[04:12:29] [Server-Worker-5/INFO]: Preparing spawn area: 2%
[04:12:29] [Server-Worker-5/INFO]: Preparing spawn area: 3%
[04:12:30] [Server-Worker-5/INFO]: Preparing spawn area: 3%
[04:12:30] [Server-Worker-5/INFO]: Preparing spawn area: 3%
[04:12:31] [Server-Worker-5/INFO]: Preparing spawn area: 3%
[04:12:31] [Server-Worker-5/INFO]: Preparing spawn area: 3%
[04:12:32] [Server-Worker-5/INFO]: Preparing spawn area: 3%
[04:12:32] [Server-Worker-5/INFO]: Preparing spawn area: 4%
[04:12:33] [Server-Worker-5/INFO]: Preparing spawn area: 4%
[04:12:33] [Server-Worker-5/INFO]: Preparing spawn area: 5%
[04:12:34] [Server-Worker-5/INFO]: Preparing spawn area: 6%
[04:12:34] [Server-Worker-5/INFO]: Preparing spawn area: 6%
[04:12:35] [Server-Worker-5/INFO]: Preparing spawn area: 6%
[04:12:35] [Server-Worker-5/INFO]: Preparing spawn area: 6%
[04:12:36] [Server-Worker-5/INFO]: Preparing spawn area: 7%
[04:12:36] [Server-Worker-5/INFO]: Preparing spawn area: 7%
[04:12:37] [Server-Worker-5/INFO]: Preparing spawn area: 7%
[04:12:37] [Server-Worker-5/INFO]: Preparing spawn area: 8%
[04:12:38] [Server-Worker-5/INFO]: Preparing spawn area: 9%
[04:12:38] [Server-Worker-5/INFO]: Preparing spawn area: 9%
[04:12:39] [Server-Worker-5/INFO]: Preparing spawn area: 9%
[04:12:39] [Server-Worker-5/INFO]: Preparing spawn area: 10%
[04:12:40] [Server-Worker-5/INFO]: Preparing spawn area: 10%
[04:12:40] [Server-Worker-5/INFO]: Preparing spawn area: 11%
[04:12:41] [Server-Worker-5/INFO]: Preparing spawn area: 12%
[04:12:41] [Server-Worker-5/INFO]: Preparing spawn area: 13%
[04:12:42] [Server-Worker-5/INFO]: Preparing spawn area: 13%
[04:12:42] [Server-Worker-5/INFO]: Preparing spawn area: 15%
[04:12:43] [Server-Worker-5/INFO]: Preparing spawn area: 15%
[04:12:43] [Server-Worker-5/INFO]: Preparing spawn area: 15%
[04:12:44] [Server-Worker-5/INFO]: Preparing spawn area: 16%
[04:12:44] [Server-Worker-5/INFO]: Preparing spawn area: 16%
[04:12:45] [Server-Worker-5/INFO]: Preparing spawn area: 17%
[04:12:45] [Server-Worker-5/INFO]: Preparing spawn area: 17%
[04:12:46] [Server-Worker-5/INFO]: Preparing spawn area: 18%
[04:12:46] [Server-Worker-5/INFO]: Preparing spawn area: 19%
[04:12:47] [Server-Worker-5/INFO]: Preparing spawn area: 20%
[04:12:47] [Server-Worker-5/INFO]: Preparing spawn area: 21%
[04:12:48] [Server-Worker-5/INFO]: Preparing spawn area: 22%
[04:12:48] [Server-Worker-5/INFO]: Preparing spawn area: 22%
[04:12:49] [Server-Worker-5/INFO]: Preparing spawn area: 23%
[04:12:49] [Server-Worker-5/INFO]: Preparing spawn area: 23%
[04:12:50] [Server-Worker-5/INFO]: Preparing spawn area: 23%
[04:12:50] [Server-Worker-5/INFO]: Preparing spawn area: 24%
[04:12:51] [Server-Worker-5/INFO]: Preparing spawn area: 24%
[04:12:51] [Server-Worker-5/INFO]: Preparing spawn area: 24%
[04:12:52] [Server-Worker-5/INFO]: Preparing spawn area: 26%
[04:12:52] [Server-Worker-5/INFO]: Preparing spawn area: 27%
[04:12:53] [Server-Worker-5/INFO]: Preparing spawn area: 27%
[04:12:53] [Server-Worker-5/INFO]: Preparing spawn area: 28%
[04:12:54] [Server-Worker-5/INFO]: Preparing spawn area: 29%
[04:12:54] [Server-Worker-5/INFO]: Preparing spawn area: 31%
[04:12:55] [Server-Worker-5/INFO]: Preparing spawn area: 31%
[04:12:55] [Server-Worker-5/INFO]: Preparing spawn area: 32%
[04:12:56] [Server-Worker-5/INFO]: Preparing spawn area: 32%
[04:12:56] [Server-Worker-5/INFO]: Preparing spawn area: 32%
[04:12:57] [Server-Worker-5/INFO]: Preparing spawn area: 33%
[04:12:57] [Server-Worker-5/INFO]: Preparing spawn area: 33%
[04:12:58] [Server-Worker-5/INFO]: Preparing spawn area: 33%
[04:12:58] [Server-Worker-5/INFO]: Preparing spawn area: 33%
[04:12:59] [Server-Worker-5/INFO]: Preparing spawn area: 34%
[04:12:59] [Server-Worker-5/INFO]: Preparing spawn area: 34%
[04:13:00] [Server-Worker-5/INFO]: Preparing spawn area: 35%
[04:13:00] [Server-Worker-5/INFO]: Preparing spawn area: 36%
[04:13:01] [Server-Worker-5/INFO]: Preparing spawn area: 36%
[04:13:01] [Server-Worker-5/INFO]: Preparing spawn area: 36%
[04:13:02] [Server-Worker-5/INFO]: Preparing spawn area: 37%
[04:13:02] [Server-Worker-5/INFO]: Preparing spawn area: 37%
[04:13:03] [Server-Worker-5/INFO]: Preparing spawn area: 37%
[04:13:03] [Server-Worker-5/INFO]: Preparing spawn area: 39%
[04:13:04] [Server-Worker-5/INFO]: Preparing spawn area: 41%
[04:13:04] [Server-Worker-5/INFO]: Preparing spawn area: 41%
[04:13:05] [Server-Worker-5/INFO]: Preparing spawn area: 42%
[04:13:05] [Server-Worker-5/INFO]: Preparing spawn area: 42%
[04:13:06] [Server-Worker-5/INFO]: Preparing spawn area: 42%
[04:13:06] [Server-Worker-5/INFO]: Preparing spawn area: 43%
[04:13:07] [Server-Worker-5/INFO]: Preparing spawn area: 43%
[04:13:07] [Server-Worker-5/INFO]: Preparing spawn area: 44%
[04:13:08] [Server-Worker-5/INFO]: Preparing spawn area: 44%
[04:13:08] [Server-Worker-5/INFO]: Preparing spawn area: 45%
[04:13:09] [Server-Worker-5/INFO]: Preparing spawn area: 47%
[04:13:09] [Server-Worker-5/INFO]: Preparing spawn area: 48%
[04:13:10] [Server-Worker-5/INFO]: Preparing spawn area: 49%
[04:13:10] [Server-Worker-5/INFO]: Preparing spawn area: 50%
[04:13:11] [Server-Worker-5/INFO]: Preparing spawn area: 52%
[04:13:11] [Server-Worker-5/INFO]: Preparing spawn area: 54%
[04:13:12] [Server-Worker-5/INFO]: Preparing spawn area: 54%
[04:13:12] [Server-Worker-5/INFO]: Preparing spawn area: 54%
[04:13:13] [Server-Worker-5/INFO]: Preparing spawn area: 55%
[04:13:13] [Server-Worker-5/INFO]: Preparing spawn area: 57%
[04:13:14] [Server-Worker-5/INFO]: Preparing spawn area: 58%
[04:13:14] [Server-Worker-5/INFO]: Preparing spawn area: 59%
[04:13:15] [Server-Worker-5/INFO]: Preparing spawn area: 61%
[04:13:15] [Server-Worker-5/INFO]: Preparing spawn area: 61%
[04:13:16] [Server-Worker-5/INFO]: Preparing spawn area: 63%
[04:13:16] [Server-Worker-5/INFO]: Preparing spawn area: 63%
[04:13:17] [Server-Worker-5/INFO]: Preparing spawn area: 64%
[04:13:17] [Server-Worker-5/INFO]: Preparing spawn area: 65%
[04:13:18] [Server-Worker-5/INFO]: Preparing spawn area: 66%
[04:13:18] [Server-Worker-5/INFO]: Preparing spawn area: 67%
[04:13:19] [Server-Worker-5/INFO]: Preparing spawn area: 67%
[04:13:19] [Server-Worker-5/INFO]: Preparing spawn area: 68%
[04:13:20] [Server-Worker-5/INFO]: Preparing spawn area: 68%
[04:13:20] [Server-Worker-5/INFO]: Preparing spawn area: 70%
[04:13:21] [Server-Worker-5/INFO]: Preparing spawn area: 72%
[04:13:21] [Server-Worker-5/INFO]: Preparing spawn area: 73%
[04:13:22] [Server-Worker-5/INFO]: Preparing spawn area: 74%
[04:13:22] [Server-Worker-5/INFO]: Preparing spawn area: 75%
[04:13:23] [Server-Worker-5/INFO]: Preparing spawn area: 76%
[04:13:23] [Server-Worker-5/INFO]: Preparing spawn area: 77%
[04:13:24] [Server-Worker-5/INFO]: Preparing spawn area: 78%
[04:13:24] [Server-Worker-5/INFO]: Preparing spawn area: 79%
[04:13:25] [Server-Worker-5/INFO]: Preparing spawn area: 79%
[04:13:25] [Server-Worker-5/INFO]: Preparing spawn area: 79%
[04:13:26] [Server-Worker-5/INFO]: Preparing spawn area: 80%
[04:13:26] [Server-Worker-5/INFO]: Preparing spawn area: 82%
[04:13:27] [Server-Worker-5/INFO]: Preparing spawn area: 83%
[04:13:27] [Server-Worker-5/INFO]: Preparing spawn area: 83%
[04:13:28] [Server-Worker-5/INFO]: Preparing spawn area: 85%
[04:13:28] [Server-Worker-5/INFO]: Preparing spawn area: 88%
[04:13:29] [Server-Worker-5/INFO]: Preparing spawn area: 89%
[04:13:29] [Server-Worker-5/INFO]: Preparing spawn area: 92%
[04:13:30] [Server-Worker-5/INFO]: Preparing spawn area: 92%
[04:13:30] [Server-Worker-5/INFO]: Preparing spawn area: 93%
[04:13:31] [Server-Worker-5/INFO]: Preparing spawn area: 93%
[04:13:31] [Server-Worker-5/INFO]: Preparing spawn area: 93%
[04:13:32] [Server-Worker-5/INFO]: Preparing spawn area: 94%
[04:13:32] [Server-Worker-5/INFO]: Preparing spawn area: 94%
[04:13:33] [Server-Worker-5/INFO]: Preparing spawn area: 95%
[04:13:33] [Server-Worker-5/INFO]: Preparing spawn area: 96%
[04:13:34] [Server-Worker-5/INFO]: Preparing spawn area: 97%
[04:13:34] [Server-Worker-5/INFO]: Preparing spawn area: 98%
[04:13:35] [Server thread/INFO]: Time elapsed: 89969 ms
[04:13:35] [Server thread/INFO]: Done (225.188s)! For help, type "help"
[04:13:35] [Server thread/INFO]: Starting remote control listener
[04:13:35] [RCON Listener #1/INFO]: RCON running on 0.0.0.0:25575
[04:13:37] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2082ms or 41 ticks behind
[04:15:26] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2130ms or 42 ticks behind
[04:16:05] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2151ms or 43 ticks behind
[04:17:25] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:17:25] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:17:25] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:17:25] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:17:25] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:17:26] [Server thread/INFO]: Starting minecraft server version 1.15.2
[04:17:26] [Server thread/INFO]: Loading properties
[04:17:26] [Server thread/INFO]: Default game type: SURVIVAL
[04:17:26] [Server thread/INFO]: Generating keypair
[04:17:29] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:17:29] [Server thread/INFO]: Using epoll channel type
[04:17:30] [Server thread/INFO]: Preparing level "world"
[04:17:31] [Server thread/INFO]: Found new data pack vanilla, loading it automatically
[04:17:31] [Server thread/INFO]: Reloading ResourceManager: Default
[04:17:54] [Server thread/INFO]: Loaded 6 recipes
[04:18:00] [Server thread/INFO]: Loaded 825 advancements
[04:20:31] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[04:20:32] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:32] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:32] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:33] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:33] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:34] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:34] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:35] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:35] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:36] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:36] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:37] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:37] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:38] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:38] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[04:20:39] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[04:20:39] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[04:20:40] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[04:20:40] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[04:20:41] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[04:20:41] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[04:20:42] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[04:20:42] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[04:20:43] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[04:20:43] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[04:20:44] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[04:20:44] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[04:20:45] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[04:20:45] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[04:20:46] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[04:20:46] [Server-Worker-1/INFO]: Preparing spawn area: 7%
[04:20:47] [Server-Worker-1/INFO]: Preparing spawn area: 7%
[04:20:47] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[04:20:48] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[04:20:48] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[04:20:49] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[04:20:49] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[04:20:50] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[04:20:50] [Server-Worker-1/INFO]: Preparing spawn area: 13%
[04:20:51] [Server-Worker-1/INFO]: Preparing spawn area: 13%
[04:20:51] [Server-Worker-1/INFO]: Preparing spawn area: 14%
[04:20:52] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[04:20:52] [Server-Worker-1/INFO]: Preparing spawn area: 16%
[04:20:53] [Server-Worker-1/INFO]: Preparing spawn area: 16%
[04:20:53] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[04:20:54] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[04:20:54] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[04:20:55] [Server-Worker-1/INFO]: Preparing spawn area: 20%
[04:20:55] [Server-Worker-1/INFO]: Preparing spawn area: 20%
[04:20:56] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[04:20:56] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[04:20:57] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[04:20:57] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[04:20:58] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[04:20:58] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[04:20:59] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[04:20:59] [Server-Worker-1/INFO]: Preparing spawn area: 29%
[04:21:00] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[04:21:00] [Server-Worker-1/INFO]: Preparing spawn area: 32%
[04:21:01] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[04:21:01] [Server-Worker-1/INFO]: Preparing spawn area: 35%
[04:21:02] [Server-Worker-1/INFO]: Preparing spawn area: 37%
[04:21:02] [Server-Worker-1/INFO]: Preparing spawn area: 38%
[04:21:03] [Server-Worker-1/INFO]: Preparing spawn area: 40%
[04:21:03] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[04:21:04] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[04:21:04] [Server-Worker-1/INFO]: Preparing spawn area: 43%
[04:21:05] [Server-Worker-1/INFO]: Preparing spawn area: 44%
[04:21:05] [Server-Worker-1/INFO]: Preparing spawn area: 46%
[04:21:06] [Server-Worker-1/INFO]: Preparing spawn area: 48%
[04:21:06] [Server-Worker-1/INFO]: Preparing spawn area: 49%
[04:21:07] [Server-Worker-1/INFO]: Preparing spawn area: 51%
[04:21:07] [Server-Worker-1/INFO]: Preparing spawn area: 53%
[04:21:08] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[04:21:08] [Server-Worker-1/INFO]: Preparing spawn area: 55%
[04:21:09] [Server-Worker-1/INFO]: Preparing spawn area: 57%
[04:21:09] [Server-Worker-1/INFO]: Preparing spawn area: 59%
[04:21:10] [Server-Worker-1/INFO]: Preparing spawn area: 60%
[04:21:10] [Server-Worker-1/INFO]: Preparing spawn area: 61%
[04:21:11] [Server-Worker-1/INFO]: Preparing spawn area: 63%
[04:21:11] [Server-Worker-1/INFO]: Preparing spawn area: 64%
[04:21:12] [Server-Worker-1/INFO]: Preparing spawn area: 65%
[04:21:12] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[04:21:13] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[04:21:13] [Server-Worker-1/INFO]: Preparing spawn area: 71%
[04:21:14] [Server-Worker-1/INFO]: Preparing spawn area: 72%
[04:21:14] [Server-Worker-1/INFO]: Preparing spawn area: 74%
[04:21:15] [Server-Worker-1/INFO]: Preparing spawn area: 75%
[04:21:15] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[04:21:16] [Server-Worker-1/INFO]: Preparing spawn area: 79%
[04:21:16] [Server-Worker-1/INFO]: Preparing spawn area: 79%
[04:21:17] [Server-Worker-1/INFO]: Preparing spawn area: 82%
[04:21:17] [Server-Worker-1/INFO]: Preparing spawn area: 84%
[04:21:18] [Server-Worker-1/INFO]: Preparing spawn area: 85%
[04:21:18] [Server-Worker-1/INFO]: Preparing spawn area: 86%
[04:21:19] [Server-Worker-1/INFO]: Preparing spawn area: 88%
[04:21:19] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[04:21:20] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[04:21:20] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[04:21:21] [Server-Worker-1/INFO]: Preparing spawn area: 91%
[04:21:21] [Server-Worker-1/INFO]: Preparing spawn area: 92%
[04:21:22] [Server-Worker-1/INFO]: Preparing spawn area: 94%
[04:21:22] [Server-Worker-1/INFO]: Preparing spawn area: 95%
[04:21:23] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[04:21:23] [Server-Worker-1/INFO]: Preparing spawn area: 97%
[04:21:24] [Server-Worker-1/INFO]: Preparing spawn area: 99%
[04:21:24] [Server thread/INFO]: Time elapsed: 52864 ms
[04:21:24] [Server thread/INFO]: Done (234.049s)! For help, type "help"
[04:21:24] [Server thread/INFO]: Starting remote control listener
[04:21:24] [RCON Listener #1/INFO]: RCON running on 0.0.0.0:25575
[04:21:26] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2081ms or 41 ticks behind
